dataset,P,R,F1,Accuracy
crowd 0.1 neg/pos threshold,0.3536041095,0.9599958552,0.5162847578,0.5294702504
crowd 0.2 neg/pos threshold,0.4516378317,0.9027753583,0.6007426501,0.6859005639
crowd 0.3 neg/pos threshold,0.5044750438,0.8484932081,0.6319433251,0.7415966122
crowd 0.4 neg/pos threshold,0.5311069852,0.7659296647,0.6256105537,0.7556123414
crowd 0.5 neg/pos threshold,0.5654391817,0.7432127539,0.6420313224,0.7840865043
crowd 0.6 neg/pos threshold,0.6043948841,0.6803869273,0.6365573959,0.8034357626
crowd 0.7 neg/pos threshold,0.6199548825,0.6107331575,0.6133095607,0.8009692193
crowd 0.8 neg/pos threshold,0.6351801802,0.476501736,0.5403318646,0.7919504144
crowd 0.9 neg/pos threshold,0.6943686087,0.3758561397,0.481487245,0.7930941923
expert,0.672085163,0.604660037,0.6381026515,0.8186518192
single,0.4958358308,0.4731758413,0.483020363,0.737693476
baseline,0.4363500679,0.8449217796,0.5753716602,0.6747165908
